task_id,application,players,replicate,seed,budget,method,mse,efficiency_error,data_sha256,source_path
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,48,LeverageSHAP,0.011762946319682863,0.0,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,48,ShaplEIG,1.4135093766943536e-05,1.1301024508414415e-06,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,64,KernelSHAP,0.009123967920073806,8.797443440400343e-09,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,64,PermutationSampling,0.008196448925371037,0.0,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,64,RegressionMSR,0.0032079543789058306,5.093379513709806e-07,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,64,LeverageSHAP,0.009123966220235659,1.1102230246251565e-16,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,64,ShaplEIG,1.5136948617001564e-05,1.1499218672827993e-06,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,4,4,16,KernelSHAP,0.0278815660939029,1.2218585698775541e-08,3f288e3cb2f60c0e567e8fd01cad563f356953035cced3e43db7c29fcef4544a,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_4.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,4,4,16,PermutationSampling,0.0452240271967968,0.0,3f288e3cb2f60c0e567e8fd01cad563f356953035cced3e43db7c29fcef4544a,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_4.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,4,4,16,RegressionMSR,0.00895192712771414,5.002293619327247e-07,3f288e3cb2f60c0e567e8fd01cad563f356953035cced3e43db7c29fcef4544a,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_4.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,4,4,16,LeverageSHAP,0.027881565281642928,2.220446049250313e-16,3f288e3cb2f60c0e567e8fd01cad563f356953035cced3e43db7c29fcef4544a,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_4.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,4,4,16,ShaplEIG,0.013605719108393245,7.147051763745083e-07,3f288e3cb2f60c0e567e8fd01cad563f356953035cced3e43db7c29fcef4544a,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_4.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,4,4,24,KernelSHAP,0.25555892279564113,1.044278197248616e-08,3f288e3cb2f60c0e567e8fd01cad563f356953035cced3e43db7c29fcef4544a,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_4.npz
